Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
20000.00,2013-01-01,debt_consolidation,637,26.84%,335xx,FL,< 1 year,0
1500.00,2013-01-01,wedding,0,0%,300xx,GA,< 1 year,0
20000.00,2013-01-01,debt consolidation,685,28.18%,300xx,GA,5 years,0
3000.00,2013-01-01,other,647,2.06%,331xx,FL,< 1 year,0
10000.00,2013-01-01,debt_consolidation,0,-1%,920xx,CA,< 1 year,0
12000.00,2013-01-01,other,686,33.82%,724xx,AR,10+ years,0
10000.00,2013-01-01,debt_consolidation,695,32.81%,922xx,CA,< 1 year,0
25000.00,2013-01-01,debt_consolidation,685,21.79%,431xx,OH,< 1 year,0
7000.00,2013-01-01,credit_card,656,15.86%,767xx,TX,< 1 year,0
1000.00,2013-01-01,debt_consolidation,671,25.05%,322xx,FL,< 1 year,0
4500.00,2013-01-01,debt_consolidation,578,39.46%,253xx,WV,< 1 year,0
2000.00,2013-01-01,debt_consolidation,0,1.5%,215xx,MD,< 1 year,0
10000.00,2013-01-01,debt_consolidation,629,1.92%,920xx,CA,< 1 year,0
5000.00,2013-01-01,credit_card,653,4.97%,255xx,WV,< 1 year,0
3000.00,2013-01-01,debt_consolidation,642,4.87%,100xx,NY,< 1 year,0
5000.00,2013-01-01,debt_consolidation,564,1.1%,404xx,KY,< 1 year,0
3000.00,2013-01-01,debt_consolidation,,-1%,437xx,OH,< 1 year,0
25000.00,2013-01-01,debt_consolidation,663,42.38%,457xx,OH,< 1 year,0
18000.00,2013-01-01,credit_card,736,143.62%,810xx,CO,< 1 year,0
21000.00,2013-01-01,Pay off credit card,689,31.12%,331xx,FL,5 years,0
30000.00,2013-01-01,debt_consolidation,650,2.1%,063xx,CT,< 1 year,0
25000.00,2013-01-01,debt_consolidation,657,48.9%,880xx,NM,< 1 year,0
25000.00,2013-01-01,New Life,661,21.93%,721xx,AR,3 years,0
5000.00,2013-01-01,home_improvement,591,38.1%,870xx,NM,< 1 year,0
2000.00,2013-01-01,other,641,0.18%,891xx,NV,< 1 year,0
1000.00,2013-01-01,other,618,44.9%,453xx,OH,< 1 year,0
35000.00,2013-01-01,debt,714,11.89%,541xx,WI,10+ years,0
1000.00,2013-01-01,other,622,0%,275xx,NC,< 1 year,0
6500.00,2013-01-01,debt_consolidation,647,17.78%,799xx,TX,< 1 year,0
6000.00,2013-01-01,debt_consolidation,577,4.7%,594xx,MT,< 1 year,0
8000.00,2013-01-01,credit_card,685,5.18%,300xx,GA,< 1 year,0
20000.00,2013-01-01,debt_consolidation,554,8.63%,613xx,IL,< 1 year,0
3000.00,2013-01-01,medical,616,46.07%,730xx,OK,< 1 year,0
6800.00,2013-01-01,debt_consolidation,650,15.58%,357xx,AL,< 1 year,0
30000.00,2013-01-01,debt_consolidation,715,31.6%,173xx,PA,10+ years,0
35000.00,2013-01-01,small_business,703,96.56%,335xx,FL,< 1 year,0
6000.00,2013-01-01,other,468,1.16%,481xx,MI,< 1 year,0
20000.00,2013-01-01,debt_consolidation,655,18.79%,811xx,CO,< 1 year,0
1000.00,2013-01-01,other,438,10.92%,070xx,NJ,< 1 year,0
6500.00,2013-01-01,debt_consolidation,690,28.96%,548xx,WI,< 1 year,0
6000.00,2013-01-01,other,723,2%,760xx,TX,< 1 year,0
1000.00,2013-01-01,debt_consolidation,571,30.03%,219xx,MD,< 1 year,0
2500.00,2013-01-01,medical,608,5.84%,466xx,IN,< 1 year,0
5500.00,2013-01-01,Debt refinance,699,21.17%,850xx,AZ,10+ years,0
1000.00,2013-01-01,moving,585,15.08%,117xx,NY,< 1 year,0
14000.00,2013-01-01,debt_consolidation,650,6%,201xx,VA,< 1 year,0
10000.00,2013-01-01,small_business,0,0.47%,334xx,FL,< 1 year,0
2000.00,2013-01-01,car,728,5.94%,554xx,MN,< 1 year,0
19000.00,2013-01-01,credit_card,693,50.96%,473xx,IN,< 1 year,0
20000.00,2013-01-01,debt_consolidation,669,36.36%,484xx,MI,< 1 year,0
10000.00,2013-01-01,debt_consolidation,623,6.21%,704xx,LA,< 1 year,0
20000.00,2013-01-01,credit_card,621,53.43%,478xx,IN,< 1 year,0
20000.00,2013-01-01,debt_consolidation,674,45.64%,480xx,MI,< 1 year,0
3000.00,2013-01-01,debt_consolidation,591,36.4%,021xx,MA,< 1 year,0
1000.00,2013-01-01,other,791,1.08%,436xx,OH,< 1 year,0
5000.00,2013-01-01,debt_consolidation,658,23.23%,282xx,NC,< 1 year,0
5000.00,2013-01-01,debt_consolidation,582,23.23%,292xx,SC,< 1 year,0
20000.00,2013-01-01,debt_consolidation,651,29.42%,676xx,KS,< 1 year,0
8500.00,2013-01-01,other,672,8.88%,464xx,IN,< 1 year,0
35000.00,2013-01-01,home_improvement,656,20.63%,087xx,NJ,< 1 year,0
2500.00,2013-01-01,debt_consolidation,632,20.69%,309xx,GA,< 1 year,0
5000.00,2013-01-01,small_business,620,96.4%,105xx,NY,< 1 year,0
3000.00,2013-01-01,other,668,13.65%,077xx,NJ,< 1 year,0
4000.00,2013-01-01,other,610,9.27%,970xx,OR,< 1 year,0
25000.00,2013-01-01,2013 a new start!!,678,19.22%,305xx,GA,3 years,0
5000.00,2013-01-01,debt_consolidation,553,60.83%,891xx,NV,< 1 year,0
17500.00,2013-01-01,debt_consolidation,659,14.91%,554xx,MN,< 1 year,0
6000.00,2013-01-01,credit_card,615,6.68%,069xx,CT,< 1 year,0
30000.00,2013-01-01,Debt Consolidation,683,11.6%,481xx,MI,4 years,0
6800.00,2013-01-01,credit_card,686,21.51%,662xx,KS,< 1 year,0
20000.00,2013-01-01,debt_consolidation,630,8.79%,946xx,CA,< 1 year,0
35000.00,2013-01-01,debt_consolidation,685,19.88%,902xx,CA,< 1 year,0
10000.00,2013-01-01,house,759,6.72%,451xx,OH,< 1 year,0
25000.00,2013-01-01,other,704,36.99%,490xx,MI,< 1 year,0
2000.00,2013-01-01,home_improvement,583,0%,468xx,IN,1 year,0
35000.00,2013-01-01,debt_consolidation,717,35.86%,283xx,NC,< 1 year,0
15000.00,2013-01-01,other,619,11.59%,254xx,WV,< 1 year,0
35000.00,2013-01-01,small_business,0,0%,902xx,CA,< 1 year,0
2500.00,2013-01-01,debt_consolidation,0,4%,551xx,MN,< 1 year,0
5000.00,2013-01-01,car,,-1%,782xx,TX,< 1 year,0
35000.00,2013-01-01,home_improvement,632,7.47%,922xx,CA,< 1 year,0
34000.00,2013-01-01,Debt consolidation,713,23.77%,565xx,MN,5 years,0
2000.00,2013-01-01,major_purchase,650,69.96%,770xx,TX,< 1 year,0
3000.00,2013-01-01,other,696,33.87%,285xx,NC,< 1 year,0
15000.00,2013-01-01,debt_consolidation,676,45.77%,604xx,IL,< 1 year,0
2500.00,2013-01-01,debt_consolidation,699,57.5%,444xx,OH,1 year,0
10000.00,2013-01-01,major_purchase,587,9.62%,216xx,MD,< 1 year,0
18000.00,2013-01-01,credit_card,691,35.65%,750xx,TX,< 1 year,0
7500.00,2013-01-01,debt_consolidation,594,21.28%,481xx,MI,< 1 year,0
4000.00,2013-01-01,medical,576,8.29%,940xx,CA,< 1 year,0
5000.00,2013-01-01,car,609,27.77%,622xx,IL,< 1 year,0
16000.00,2013-01-01,debt_consolidation,666,10.5%,014xx,MA,< 1 year,0
15000.00,2013-01-01,debt_consolidation,696,35.28%,774xx,TX,< 1 year,0
10000.00,2013-01-01,major_purchase,646,17.07%,941xx,CA,< 1 year,0
1000.00,2013-01-01,other,0,0%,717xx,AR,< 1 year,0
10000.00,2013-01-01,Debt consolidation,668,11.3%,305xx,GA,6 years,0
2000.00,2013-01-01,debt_consolidation,644,8.15%,024xx,MA,< 1 year,0
10000.00,2013-01-01,credit_card,693,36.16%,295xx,SC,< 1 year,0
5000.00,2013-01-01,credit_card,660,5.52%,895xx,NV,< 1 year,0
15000.00,2013-01-01,debt_consolidation,576,0%,265xx,WV,< 1 year,0
3000.00,2013-01-01,other,707,9.96%,531xx,WI,< 1 year,0
7000.00,2013-01-01,credit_card,540,7.5%,970xx,OR,< 1 year,0
1000.00,2013-01-01,other,450,5.07%,664xx,KS,< 1 year,0
25000.00,2013-01-01,debt_consolidation,705,35.08%,551xx,MN,< 1 year,0
15000.00,2013-01-01,debt consolidation,717,13.31%,126xx,NY,10+ years,0
25000.00,2013-01-01,debt_consolidation,663,22.45%,198xx,DE,< 1 year,0
5000.00,2013-01-01,other,616,3.71%,145xx,NY,< 1 year,0
35000.00,2013-01-01,other,463,2.36%,950xx,CA,< 1 year,0
16500.00,2013-01-01,credit_card,683,36.48%,225xx,VA,< 1 year,0
2500.00,2013-01-01,major_purchase,609,13.33%,133xx,NY,< 1 year,0
1000.00,2013-01-01,moving,551,5.43%,328xx,FL,< 1 year,0
15000.00,2013-01-01,debt_consolidation,651,13.91%,114xx,NY,< 1 year,0
30000.00,2013-01-01,debt_consolidation,758,16.15%,217xx,MD,< 1 year,0
18000.00,2013-01-01,debt_consolidation,625,18.05%,481xx,MI,< 1 year,0
7500.00,2013-01-01,Debt consolidation,699,3.82%,066xx,CT,7 years,0
1000.00,2013-01-01,other,489,9.73%,295xx,SC,< 1 year,0
1500.00,2013-01-01,major_purchase,586,4.8%,076xx,NJ,< 1 year,0
7000.00,2013-01-01,major_purchase,0,0.51%,168xx,PA,< 1 year,0
5000.00,2013-01-01,moving,698,3.18%,073xx,NJ,< 1 year,0
1000.00,2013-01-01,debt_consolidation,520,2.65%,891xx,NV,< 1 year,0
18000.00,2013-01-01,debt_consolidation,635,15.21%,481xx,MI,< 1 year,0
7000.00,2013-01-01,debt_consolidation,664,44.55%,220xx,VA,< 1 year,0
10000.00,2013-01-01,credit_card,638,3.59%,021xx,MA,< 1 year,0
32000.00,2013-01-01,home_improvement,0,0%,752xx,TX,< 1 year,0
20000.00,2013-01-01,debt_consolidation,653,15.98%,336xx,FL,< 1 year,0
1400.00,2013-01-01,Moving Deposit,728,2.22%,341xx,FL,2 years,0
1000.00,2013-01-01,debt_consolidation,686,71.36%,531xx,WI,< 1 year,0
21000.00,2013-01-01,debt_consolidation,658,27.56%,241xx,VA,< 1 year,0
7700.00,2013-01-01,debt_consolidation,607,37.56%,441xx,OH,< 1 year,0
21000.00,2013-01-01,debt_consolidation,681,45.5%,636xx,MO,< 1 year,0
5000.00,2013-01-01,vacation,482,0%,170xx,PA,< 1 year,0
33000.00,2013-01-01,home_improvement,514,724.93%,750xx,TX,< 1 year,0
10000.00,2013-01-01,debt_consolidation,570,12.86%,658xx,MO,< 1 year,0
2000.00,2013-01-01,medical,521,22.13%,113xx,NY,< 1 year,0
10000.00,2013-01-01,small_business,514,1.16%,462xx,IN,< 1 year,0
12825.00,2013-01-01,debt_consolidation,687,43.3%,765xx,TX,< 1 year,0
4000.00,2013-01-01,car,616,2.4%,481xx,MI,< 1 year,0
18000.00,2013-01-01,credit_card,673,40.53%,986xx,WA,< 1 year,0
5000.00,2013-01-01,other,627,9.1%,731xx,OK,< 1 year,0
20000.00,2013-01-01,other,547,24%,330xx,FL,< 1 year,0
35000.00,2013-01-01,debt_consolidation,575,17.27%,120xx,NY,< 1 year,0
5000.00,2013-01-01,vacation,692,7.53%,600xx,IL,< 1 year,0
20000.00,2013-01-01,debt_consolidation,677,27.02%,103xx,NY,< 1 year,0
35000.00,2013-01-01,New room,712,7.35%,940xx,CA,10+ years,0
30000.00,2013-01-01,debt_consolidation,525,117.95%,808xx,CO,< 1 year,0
35000.00,2013-01-01,other,651,23.97%,806xx,CO,< 1 year,0
15000.00,2013-01-01,debt_consolidation,649,10.07%,953xx,CA,< 1 year,0
15000.00,2013-01-01,debt_consolidation,653,8.31%,070xx,NJ,< 1 year,0
35000.00,2013-01-01,debt_consolidation,602,39.1%,076xx,NJ,< 1 year,0
2000.00,2013-01-01,medical,596,95.6%,460xx,IN,< 1 year,0
31000.00,2013-01-01,house,458,412.65%,750xx,TX,< 1 year,0
35000.00,2013-01-01,small_business,588,12.76%,463xx,IN,< 1 year,0
17000.00,2013-01-01,debt_consolidation,641,31.37%,932xx,CA,< 1 year,0
30000.00,2013-01-01,house,648,28.85%,252xx,WV,< 1 year,0
5500.00,2013-01-01,other,538,25%,029xx,RI,< 1 year,0
20000.00,2013-01-01,debt_consolidation,642,12.27%,774xx,TX,< 1 year,0
10000.00,2013-01-01,debt_consolidation,683,34.39%,535xx,WI,< 1 year,0
2500.00,2013-01-01,other,598,0.88%,347xx,FL,< 1 year,0
30000.00,2013-01-01,debt_consolidation,689,26.61%,806xx,CO,10+ years,0
30000.00,2013-01-01,debt_consolidation,642,67.3%,856xx,AZ,< 1 year,0
5000.00,2013-01-01,car,517,0.37%,967xx,HI,< 1 year,0
5000.00,2013-01-01,other,581,8.72%,948xx,CA,< 1 year,0
16000.00,2013-01-01,small_business,660,14.02%,196xx,PA,< 1 year,0
12500.00,2013-01-01,debt_consolidation,564,32.93%,331xx,FL,< 1 year,0
3000.00,2013-01-01,other,680,73.9%,235xx,VA,< 1 year,0
15000.00,2013-01-01,other,643,22.18%,145xx,NY,< 1 year,0
10000.00,2013-01-01,Credit card refinancing,688,21.21%,809xx,CO,10+ years,0
5000.00,2013-01-01,moving,0,13.8%,212xx,MD,< 1 year,0
5000.00,2013-01-01,other,711,32.75%,900xx,CA,< 1 year,0
10000.00,2013-01-01,small_business,587,0.35%,139xx,NY,< 1 year,0
8000.00,2013-01-01,debt_consolidation,734,16.39%,061xx,CT,< 1 year,0
3000.00,2013-01-01,debt_consolidation,555,2612.98%,764xx,TX,< 1 year,0
3500.00,2013-01-01,debt_consolidation,648,13.52%,802xx,CO,< 1 year,0
25000.00,2013-01-01,major_purchase,485,3.14%,782xx,TX,< 1 year,0
15000.00,2013-01-01,small_business,624,13.62%,774xx,TX,< 1 year,0
3000.00,2013-01-01,other,661,7.09%,540xx,WI,< 1 year,0
3500.00,2013-01-01,debt_consolidation,570,6.55%,161xx,PA,< 1 year,0
8000.00,2013-01-01,major_purchase,0,0%,172xx,PA,< 1 year,0
35000.00,2013-01-01,debt_consolidation,705,39.26%,123xx,NY,< 1 year,0
24000.00,2013-01-01,credit_card,743,180.72%,850xx,AZ,< 1 year,0
35000.00,2013-01-01,major_purchase,702,27.08%,778xx,TX,< 1 year,0
18000.00,2013-01-01,debt_consolidation,654,15.4%,447xx,OH,< 1 year,0
3000.00,2013-01-01,other,619,3.37%,760xx,TX,< 1 year,0
20000.00,2013-01-01,debt_consolidation,719,125.94%,704xx,LA,< 1 year,0
35000.00,2013-01-01,debt_consolidation,659,52.68%,973xx,OR,< 1 year,0
10000.00,2013-01-01,credit_card,556,22.53%,284xx,NC,< 1 year,0
1000.00,2013-01-01,credit_card,657,4.45%,481xx,MI,< 1 year,0
1000.00,2013-01-01,other,502,0%,313xx,GA,< 1 year,0
5000.00,2013-01-01,debt_consolidation,601,34.25%,083xx,NJ,< 1 year,0
3000.00,2013-01-01,moving,507,21.66%,347xx,FL,< 1 year,0
15000.00,2013-01-01,debt_consolidation,680,38.55%,342xx,FL,< 1 year,0
10000.00,2013-01-01,debt_consolidation,574,23.77%,234xx,VA,< 1 year,0
30000.00,2013-01-01,Debt Consolidation,708,4.43%,145xx,NY,n/a,0
10000.00,2013-01-01,major_purchase,620,9.98%,810xx,CO,< 1 year,0
1000.00,2013-01-01,debt_consolidation,583,18.98%,846xx,UT,< 1 year,0
15000.00,2013-01-01,small_business,648,7.05%,672xx,KS,< 1 year,0
25000.00,2013-01-01,other,547,5.2%,720xx,AR,< 1 year,0
20000.00,2013-01-01,major_purchase,714,40.04%,228xx,VA,1 year,0
35000.00,2013-01-01,debt_consolidation,684,32.1%,403xx,KY,< 1 year,0
